de ,para,tdeslocamento
1,2,2000
1,3,1200
1,4,2100
1,5,780
1,6,706.03
1,7,143.49
1,8,467.47
1,9,635.28
1,10,472.9
1,11,6792.14
1,12,6091.7
1,13,8675.5
1,14,120
1,15,120
1,16,7216.49
1,17,6731.51
1,18,8660.43
1,19,8057.61
1,20,4493.92
2,1,2000
2,3,2400
2,4,1780
2,5,280
2,6,369871
2,7,5975.08
2,8,7807.91
2,9,6390.99
2,10,44.86
2,11,394.43
2,12,73193
2,13,461.72
2,14,898.72
2,15,228.77
2,16,407.95
2,17,453.96
2,18,6630
2,19,5854.05
2,20,8608.17
3,1,1200
3,2,2400
3,4,1400
3,5,200
3,6,4274.44
3,7,5813.06
3,8,5914.25
3,9,6200.19
3,10,6174.49
3,11,5741.25
3,12,7660.74
3,13,369652
3,14,5792.71
3,15,7564.08
3,16,6246.69
3,17,563.61
3,18,394.43
3,19,334.99
3,20,196.82
4,1,2100
4,2,1780
4,3,1400
4,5,280
4,6,4188.98
4,7,120
4,8,120
4,9,669216
4,10,4184.62
4,11,3109.49
4,12,4368.28
4,13,2794.07
4,14,1617.66
4,15,2117.25
4,16,199505
4,17,750619
4,18,2140.64
4,19,7054.28
4,20,363669
5,1,780
5,2,280
5,3,200
5,4,280
5,6,188.84
5,7,678.44
5,9,969.03
5,10,953.1
5,11,6602.46
5,12,5326.09
5,13,8943.36
5,14,120
5,15,120
5,16,6957.07
5,17,7171.14
5,18,8098.61
5,19,7266.47
5,20,3942.6
6,1,6017.58
6,2,5398.44
6,3,6863.73
6,4,369239
6,5,5672.09
6,7,6922.72
6,8,6305.72
6,9,706.03
6,10,461.72
6,11,196.82
6,12,805.1
6,13,92704
6,14,202.42
6,15,683.11
6,16,230.29
6,17,5496.11
6,18,2000.47
6,19,9371.3
6,20,120
7,1,9158.57
7,2,3561.25
7,3,1282.25
7,4,3911.2
7,5,3685.2
7,6,3156.4
7,8,5208.93
7,9,4458.7
7,10,3204.22
7,11,2144.61
7,12,362780
7,13,4673.46
7,14,217445
7,15,5993.14
7,16,143.49
7,17,898.72
7,18,504.14
7,19,188.84
7,20,92704
8,1,305.98
8,2,5826.32
8,3,2041.97
8,4,9690.71
8,5,120
8,6,120
8,7,5598.94
8,9,4295.02
8,10,2101.77
8,11,3758.65
8,12,3911.12
8,13,3391.58
8,14,5484.78
8,15,4753.59
8,16,3394.2
8,17,1555.34
8,18,363589
8,19,4894.86
8,20,1104.59
9,1,467.47
9,2,228.77
9,3,61.16
9,4,678.44
9,5,202.42
9,6,842.43
9,7,701.66
9,8,215.04
9,10,1380.61
9,11,8209.81
9,12,120
9,13,120
9,14,4008.86
9,15,8117.42
9,16,2455.07
9,17,590203
9,18,3247.89
9,19,2637.59
9,20,2126.52
10,1,3340.22
10,2,2213.81
10,3,3306.59
10,4,362627
10,5,3601.04
10,6,1054.14
10,7,4882.92
10,8,635.28
10,9,407.95
10,11,969.03
10,12,683.11
10,13,481.57
10,14,701.66
10,15,103.49
10,16,3935.58
10,17,2730.87
10,18,7554.61
10,19,120
10,20,120
11,1,7933.65
11,2,979914
11,3,1400.88
11,4,4165.38
11,5,2906.28
11,6,2589.15
11,7,3864.75
11,8,3210.37
11,9,2751.62
11,10,4814.88
11,12,3610.02
11,13,2474.92
11,14,4614.19
11,15,472.9
11,16,453.96
11,17,348.36
11,18,953.1
11,19,230.29
11,20,305.98
12,1,103.49
12,2,4190.22
12,3,7287.77
12,4,2645.59
12,5,120
12,6,120
12,7,4754.31
12,8,370038
12,9,7415.23
12,10,8611.14
12,11,5657.83
12,13,6095.68
12,14,4245.95
12,15,4951.9
12,16,6030.63
12,17,10761.5
12,18,366473
12,19,4626.95
12,20,9170.65
13,1,6792.14
13,2,6630
13,3,346285
13,4,6602.46
13,5,5496.11
13,6,5826.32
13,7,4345.84
13,8,3935.58
13,9,4190.22
13,10,3836.7
13,11,3877.18
13,12,120
13,14,120
13,15,598609
13,16,4002.98
13,17,3226.61
13,18,4627.83
13,19,3127.44
13,20,1955.77
14,1,1080.36
14,2,2477.35
14,3,7378.64
14,4,363546
14,5,1104.14
14,6,5384.35
14,7,724196
14,8,6091.7
14,9,5854.05
14,10,3503.89
14,11,5326.09
14,12,2000.47
14,13,2041.97
14,15,1380.61
14,16,2730.87
14,17,7287.77
14,18,3836.7
14,19,7674.56
14,20,120
15,1,7239.34
15,2,3145.02
15,3,1969.1
15,4,1934.65
15,5,1890.52
15,6,1391.21
15,7,3468.03
15,8,2756.42
15,9,1367.47
15,10,3568.95
15,11,363936
15,12,2862.03
15,13,1995.92
15,16,4211.85
15,17,8675.5
15,18,8608.17
15,19,8943.36
15,20,9371.3
16,1,7554.61
16,2,2645.59
16,3,3877.18
16,4,7674.56
16,5,120
16,6,120
16,7,4217.5
16,8,2278.91
16,9,6669.94
16,10,8449.65
16,11,6551.5
16,12,5785.15
16,13,6299.58
16,14,4207.69
16,15,4938.56
16,17,6307.25
16,18,11237.6
16,19,363974
16,20,4819.47
17,1,120
17,2,120
17,3,120
17,4,120
17,5,120
17,6,120
17,7,120
17,8,120
17,9,120
17,10,120
17,11,120
17,12,120
17,13,120
17,15,120
17,16,120
17,18,120
17,19,120
17,20,120
18,1,120
18,2,120
18,3,120
18,4,120
18,5,120
18,6,120
18,7,120
18,8,120
18,9,120
18,10,120
18,11,120
18,12,120
18,13,120
18,15,120
18,16,120
18,17,120
18,19,120
18,20,120
19,1,120
19,2,120
19,3,120
19,4,120
19,5,120
19,6,120
19,7,120
19,8,120
19,9,120
19,10,120
19,11,120
19,12,120
19,13,120
19,15,120
19,16,7216.49
19,17,7043.32
19,18,669216
19,20,6957.07
19,20,5189.95
20,1,3426.55
20,2,4754.31
20,3,598609
20,4,3680.33
20,5,4217.5
20,6,120
20,7,120
20,8,4551.19
20,9,2665.64
20,10,4232.19
20,11,3290.7
20,12,1885.88
20,13,2304.38
20,15,868637
20,16,1051.66
20,17,2375.14
20,18,7153.85
20,19,363003
